video_id,channel_name,title,published_at,view_count,like_count,comment_count
4FmZL08k8BQ,KanalZero,ZERO DECYBELI #2 KRZYSZTOF STANOWSKI I NATASZA URBAŃSKA,2026-05-07T14:44:17Z,22171,1297,20
RThWkOfeIyI,KanalZero,MOBBING? ZASTRASZANIE? CIEMNA STRONA PREZESA ZAIKS-U,2026-05-19T18:30:34Z,4231,372,51
1oCQ3RctkvM,KanalZero,"PRZEKAZ DNIA: SEJMOWI REKORDZIŚCI KILOMETRÓWEK, MNIEJ WOJSK USA W POLSCE?, ZERO NA TAJWANIE",2026-05-19T18:08:01Z,20197,819,51
yxTrDDgnS2M,KanalZero,PANIKA WS. ŻOŁNIERZY USA. POLSKA ZABIEGA O ICH UTRZYMANIE. TRUDNE ROZMOWY POLITYKÓW I WOJSKOWYCH,2026-05-19T17:29:56Z,17845,1249,338
6oGe6a89fs0,KanalZero,PUTIN W CHINACH. W ROSJI - ĆWICZENIA NUKLEARNE,2026-05-19T16:16:07Z,15757,948,107
0nSQwvxbmzo,KanalZero,TELEWIZJA WYMUSI NA NAS ROZWÓJ,2026-05-19T15:30:01Z,10349,234,10
6hqMP3jmEWw,KanalZero,JUŻ JUTRO MAZUREK & STANOWSKI LIVE!,2026-05-19T15:15:00Z,20394,722,27
JQp_SOuJ17M,KanalZero,POLACY MAJĄ ŻABKĘ. INNI MAJĄ ...,2026-05-19T15:00:33Z,29486,352,24
ggnbk-DhAH4,KanalZero,KOMUNIKACJA Z USA JEST NAPRAWIANA,2026-05-19T14:30:35Z,2505,32,0
Hc5sm_P0cmo,KanalZero,82. ROCZNICA BITWO O MONTE CASSINO,2026-05-19T14:00:19Z,4717,143,6
DqRj1VIK1VE,KanalZero,KANAŁ ZERO NON STOP!,2026-05-19T13:30:19Z,34951,985,46
MLwdmkkomyA,KanalZero,A WY CZYM SIĘ BAWILIŚCIE?,2026-05-19T13:00:27Z,1912,13,0
9jQ44CJ3svs,KanalZero,KANAŁ ZERO W AZJI!,2026-05-19T12:30:09Z,4482,73,12
CvC13x0RQM4,KanalZero,TOMASZ JASTRUN CHCE MORDOWAĆ WYBORCÓW PISU,2026-05-19T12:15:01Z,4743,97,10
RkuzeCMGqIc,KanalZero,Z CZYM PACJENCI MAJĄ NAJWIĘKSZY PROBLEM?,2026-05-19T12:00:38Z,1226,9,3
J05w2vQL0dM,KanalZero,STANOWSKI: BĘDZIEMY WIĘKSI NIŻ PLANOWALIŚMY,2026-05-19T11:45:01Z,90356,2643,138
1Uho3f_aFnA,KanalZero,UDAŁO SIĘ! ZERO NA PILOCIE TV NALEŻY DO KANAŁU ZERO,2026-05-19T11:32:01Z,128658,3796,169
mFd2ow28RLI,KanalZero,STANOWSKI: STARTUJEMY Z TELEWIZJĄ,2026-05-19T11:25:56Z,54051,944,61
p3xGa6yKxxM,KanalZero,KRZYSZTOF ŚMISZEK I AGNIESZKA BURZYŃSKA - PORANNE ROZMOWY ZERO,2026-05-19T11:08:36Z,0,2,0
OBmrIXgRQhs,KanalZero,STANOWSKI: STARTUJEMY! KANAŁ ZERO W TELEWIZJI!,2026-05-19T10:58:35Z,310763,20159,2125
-ToBjqJgKuM,KanalZero,USA STAWIA NA POLSKĘ,2026-05-19T10:50:00Z,6098,67,9
MJddv8MP6dM,KanalZero,"MEJZA: TEST NA PRAWO JAZDY, CO PIJE I WALKA WE FREKACH",2026-05-19T10:30:08Z,16786,61,20
hSBgs2lefA4,KanalZero,"MONTE CASSINO WIELKIE ZWYCIĘSTWO POLAKÓW, ANDERS, NAWROCKI, WETERANI | 82 ROCZNICA",2026-05-19T10:00:50Z,14723,1489,195
1_AGKK2DR3Y,KanalZero,"PONAD 130 OSÓB NIE ŻYJE, WHO WYDAŁO MIĘDZYNARODOWE OSTRZEŻENIA PRZED EBOLĄ",2026-05-19T09:00:05Z,43839,1485,288
pbk1TQgEbBk,KanalZero,TRUMP LUBI NAWROCKIEGO. USA CHCĄ NAS WSPIERAĆ,2026-05-19T08:38:02Z,4119,33,6
SyAkC5NR41Q,KanalZero,7:00 TOMASZ WOLNY & TEDE - PORANEK,2026-05-19T08:34:21Z,0,22,0
OKsufLi7eHg,KanalZero,ANDRZEJCZAK O WOJSKACH AMERYKAŃSKICH W POLSCE,2026-05-19T08:10:29Z,16189,149,3
jCQ8WRVFrB4,KanalZero,ŁUKASZ MEJZA I JACEK PRUSINOWSKI - PORANNE ROZMOWY ZERO,2026-05-19T07:41:25Z,37866,1382,874
29DwmHq7xJ4,KanalZero,MISZALSKI ZOSTANIE ODWOŁANY? STATYSTYKI SĄ PRZECIWKO PREZYDENTOWI,2026-05-19T07:20:01Z,15391,537,25
mINkba7t3AQ,KanalZero,WSZYSTKO CO MUSISZ WIEDZIEĆ O WODZIE I SWOICH ZABAWKACH,2026-05-19T07:10:51Z,31842,861,67
MsxXAw0mXOw,KanalZero,SROCZYŃSKI: LIBERAŁOWIE NIENAWIDZĄ NAJBARDZIEJ. ELEKTORAT TUSKA RADYKALIZUJE SIĘ,2026-05-19T07:04:21Z,104795,8373,1405
mKuu-GSjNeA,KanalZero,TV REPUBLIKA ZAATAKOWANA A RZĄD BAGATELIZUJE TEMAT,2026-05-19T06:50:01Z,6281,257,16
L2MOSumplAo,KanalZero,NAWROCKI ODWIEDZA MONTE CASSINO,2026-05-19T06:25:01Z,17075,679,28
WbW-We74TBU,KanalZero,EUROWIZJA TO POLITYKA,2026-05-19T06:08:24Z,9452,73,10
6LY_OTGAN0g,KanalZero,WOJSKA USA POLSCE - STAN GRY I GROUND ZERO #122,2026-05-18T20:04:12Z,52282,1778,143
fz7nApfbpUY,KanalZero,FAKTY I MITY O SAFE MUSISZ O TYM WIEDZIEĆ! (FILM PRAWA I SPRAWIEDLIWOŚCI),2026-05-18T19:39:04Z,7162,238,51
I_WXviLecQ4,KanalZero,"PRZEKAZ DNIA: CO Z WOJSKAMI USA W POLSCE?, KRAKÓW: GORĄCO PRZED REFERENDUM, INWAZJA NA SIEĆ BADAWCZĄ",2026-05-18T18:04:01Z,21885,792,43
VweiJ695l04,KanalZero,12 PUNKTÓW DLA IZRAELA NA EUROWIZJI. POLSKIE JURY W OGNIU KRYTYKI. OŚWIADCZENIE TVP,2026-05-18T17:53:08Z,106563,4397,1046
