video_id,channel_name,title,published_at,view_count,like_count,comment_count,clickbait_score,clickbait_level,engagement_rate_%
p3xGa6yKxxM,KanalZero,KRZYSZTOF ŚMISZEK I AGNIESZKA BURZYŃSKA - PORANNE ROZMOWY ZERO,2026-05-20T08:01:45Z,7484,262,109,2,1. Rzetelny / Neutralny,3.5
DGhEVGCr8kc,KanalZero,OFICJALNY POCZĄTEK ZERO TV!,2026-05-20T07:30:05Z,8272,152,5,3,2. Lekki marketing newsowy,1.84
HShngPHm-rY,KanalZero,FARMY TROLLI WSPOMAGAJĄ MISZALSKIEGO?,2026-05-20T07:14:10Z,5010,196,23,3,2. Lekki marketing newsowy,3.91
FBGv4bTHCuI,KanalZero,"REFERENDUM W KRAKOWIE, INTERNETOWE TROLLE ZNIECHĘCAJĄ DO GŁOSOWANIA",2026-05-20T07:00:19Z,24940,2333,296,2,1. Rzetelny / Neutralny,9.35
SyAkC5NR41Q,KanalZero,CO DALEJ Z AMERYKAŃSKIM WOJSKIEM? I TELEWIZYJNE WPADKI I CIEKAWOSTKI,2026-05-20T06:58:26Z,32665,1087,29,5,2. Lekki marketing newsowy,3.33
4FmZL08k8BQ,KanalZero,ZERO DECYBELI #2 KRZYSZTOF STANOWSKI I NATASZA URBAŃSKA,2026-05-19T20:38:35Z,78342,2466,203,2,1. Rzetelny / Neutralny,3.15
RThWkOfeIyI,KanalZero,MOBBING? ZASTRASZANIE? CIEMNA STRONA PREZESA ZAIKS-U,2026-05-19T18:30:34Z,37399,1882,485,3,2. Lekki marketing newsowy,5.03
1oCQ3RctkvM,KanalZero,"PRZEKAZ DNIA: SEJMOWI REKORDZIŚCI KILOMETRÓWEK, MNIEJ WOJSK USA W POLSCE?, ZERO NA TAJWANIE",2026-05-19T18:08:01Z,55878,1569,168,6,3. Wysoka manipulacja algorytmiczna,2.81
yxTrDDgnS2M,KanalZero,PANIKA WS. ŻOŁNIERZY USA. POLSKA ZABIEGA O ICH UTRZYMANIE. TRUDNE ROZMOWY POLITYKÓW I WOJSKOWYCH,2026-05-19T17:29:56Z,70240,2574,647,4,2. Lekki marketing newsowy,3.66
6oGe6a89fs0,KanalZero,PUTIN W CHINACH. W ROSJI - ĆWICZENIA NUKLEARNE,2026-05-19T16:16:07Z,37975,1557,152,4,2. Lekki marketing newsowy,4.1
0nSQwvxbmzo,KanalZero,TELEWIZJA WYMUSI NA NAS ROZWÓJ,2026-05-19T15:30:01Z,26673,438,22,2,1. Rzetelny / Neutralny,1.64
6hqMP3jmEWw,KanalZero,JUŻ JUTRO MAZUREK & STANOWSKI LIVE!,2026-05-19T15:15:00Z,53607,1233,49,3,2. Lekki marketing newsowy,2.3
