video_id,channel_name,title,published_at,view_count,like_count,comment_count,duration,duration_seconds,category_id
P8E5nhLHY8g,Imponderabilia,Jak ratowanie zwierząt trzyma ich przy życiu? Wojciech Tochman,2026-05-28T17:00:31Z,4271,156,15,PT2H5M55S,7555,22
8EPYi2IFDaM,Imponderabilia,"Nie powiedziałbym na 100%, że śmierć jest końcem. Tomasz Stawiszyński",2026-05-25T16:57:52Z,19504,458,61,PT2H53M25S,10405,22
swzOB1f6vf4,Imponderabilia,"Paulina Mikuła: Karolu, bardzo cię lubię, nawet gdy jesteś dla mnie chamski",2026-05-21T17:57:33Z,60687,1114,360,PT2H51M50S,10310,22
7a6ey5RSREU,Imponderabilia,To nie mogłoby się wydarzyć bez polskiego trotylu. Ewa Jasiewicz [Global Sumud Flotilla],2026-05-19T16:59:30Z,7180,319,73,PT1H24M47S,5087,27
H7cEcD_VPAQ,Imponderabilia,Iwo Baraniewski - rekord UFC: 117 sekund i dwa nokauty. Dogoni legendę Jana Błachowicza?,2026-05-17T16:49:45Z,18626,593,59,PT1H21M,4860,17
uTBJ08kkEzE,Imponderabilia,Szczera Grażyna Torbicka opowiada swoją historię | Imponderabilia,2026-05-10T17:44:19Z,75335,2093,165,PT1H10M48S,4248,22
x0eAbV2lhv0,Imponderabilia,"Dyskryminacja mężczyzn | Debata, którą trzeba rozpocząć. Michał Gulczyński",2026-05-07T16:33:31Z,25226,636,850,PT1H51M36S,6696,22
zzeR6DqKGZg,Imponderabilia,"Ekspert ds. etykiety tłumaczy zasady, które każdy powinien znać! Wojciech S. Wocław",2026-04-29T17:27:31Z,77874,1844,240,PT2H4M28S,7468,27
LiVZ1xopWmw,Imponderabilia,"""Byłam zakochana w innym, gdy wychodziłam za mąż"" - pisały kobiety w pamiętnikach. Antonina Tosiek",2026-04-27T15:26:47Z,61313,1599,227,PT2H29M45S,8985,22
t1qfHwTq30o,Imponderabilia,"Marcin Meller: Kanał Zero, szkoła w Afryce, Karol Nawrocki, ataki paniki, Etiopia",2026-04-23T17:27:47Z,49402,1010,113,PT2H28M33S,8913,22
tQmhC8YeWKk,Imponderabilia,"Nauka kontra ideologia, pieniądze, władza i religia. Tomasz Rożek",2026-04-19T17:43:57Z,136156,3257,265,PT1H59M18S,7158,22
OwXbGVHVbk4,Imponderabilia,"Muszę sobie tak życie ułożyć, żeby zasłużyć na szacunek wnuków. Wojciech Waglewski",2026-04-16T17:33:36Z,28923,756,57,PT1H33M48S,5628,22
-TErlm5-Ows,Imponderabilia,Mam 65 lat i patrzę tylko do przodu. Dorota Wellman,2026-04-12T17:50:37Z,227405,5735,467,PT2H4M43S,7483,22
eaVod8CVTPs,Imponderabilia,Przez dwa dni nie byłem w stanie podejść do córki bez płaczu. Rau Performance,2026-04-09T16:40:21Z,33174,714,70,PT2H5M4S,7504,22
pg4Z-_N0Zvc,Imponderabilia,"Najpierw przeprosisz moją mamę, a potem to ja mogę o tobie już nigdy nie wspomnieć. Antoni Orłoś",2026-04-06T17:00:00Z,132864,3199,397,PT2H43M35S,9815,22
FxmQjPDQz9Q,Imponderabilia,Najlepszy gitarzysta wszech czasów rodzi się na naszych oczach? Marcin Patrzałek,2026-04-02T16:58:04Z,174873,4651,685,PT1H40M,6000,22
V_9vvfeCnGo,Imponderabilia,"Zdrada, śmierć, bezgraniczna miłość i powrót Judyty. Katarzyna Grochola",2026-03-29T16:53:16Z,65094,2079,218,PT1H43M53S,6233,22
_ABxjzs1xbo,Imponderabilia,Nikt nie jest cały czas szczęśliwy. Marta Kożuchowska @o_oezu,2026-03-26T17:34:47Z,82542,1794,209,PT2H4M22S,7462,22
FaGeCZDNmB0,Imponderabilia,Niebezpieczna gra Putina z historią. Jak kłamie Rosja? Dr Bartłomiej Gajos,2026-03-22T17:54:06Z,42623,1041,113,PT2H24M10S,8650,22
KmTOjw3MuSU,Imponderabilia,Bezwzględnie szczery Łukasz Simlat: mam dość walenia polską pałką po głowie,2026-03-19T18:00:00Z,59555,1447,131,PT1H23M5S,4985,22
jD0uWQSwBOk,Imponderabilia,Pułapki psychoterapii. Kama Wojtkiewicz | Imponderabilia,2026-03-15T18:00:00Z,61349,1215,161,PT2H13M4S,7984,22
i28tDZ5hwcE,Imponderabilia,Zrobi większą karierę za granicą niż w Polsce? Anna Próchniak | Imponderabilia,2026-03-12T18:00:06Z,18348,286,23,PT2H59M23S,10763,22
-N8wS2AD24E,Imponderabilia,Dariusz Szpakowski: najlepsze momenty kariery i wzruszające wspomnienia | Imponderabilia,2026-03-08T18:00:07Z,64169,1587,133,PT1H47M48S,6468,22
2uUJN0Ks3FY,Imponderabilia,"Muniek Staszczyk szczerze o Bogu, śmierci, zdradach i alkoholu | Imponderabilia",2026-03-01T18:00:07Z,19738,418,76,PT1H32M48S,5568,22
K-NO6_DX20s,Imponderabilia,"Niesamowite metody polskiego kontrwywiadu, który przechytrzył CIA. Tomasz Awłasewicz  Imponderabilia",2026-02-26T18:00:07Z,123486,1678,106,PT1H35M23S,5723,22
bKb0KE2S0XI,Imponderabilia,Paweł Paczul: czy pogodził się z Michniewiczem? Prawda o Stanowskim i Kubie Midelu | Imponderabilia,2026-02-22T18:00:07Z,150438,3362,518,PT1H41M2S,6062,22
YIa4Vfe9KtQ,Imponderabilia,Stworzył okładkę 'Latarnie wszędzie dawno zgasły' Taco Hemingwaya. Mateusz Holak | Imponderabilia,2026-02-19T18:00:07Z,19834,397,59,PT2H3M,7380,22
EyCK57x5TGE,Imponderabilia,OSTATNI taki WYWIAD | Kwiat Jabłoni - Przesilenie i wielki finał | Imponderabilia,2026-02-15T18:00:07Z,69208,1458,84,PT2H5M39S,7539,22
xEJZTuUmumI,Imponderabilia,Fukaj: jedyny taki wywiad | Imponderabilia,2026-02-12T18:00:07Z,28662,1021,33,PT1H39M35S,5975,22
SjCKDblhtrE,Imponderabilia,Szczera Joanna Kulig opowiada swoją historię | Imponderabilia,2026-02-08T18:00:07Z,326755,6833,532,PT1H36M25S,5785,22
Zr2Y7WEIr9M,Imponderabilia,"Norbi. Przegrałem siedem milionów, a może więcej, ale wygrałem życie | Imponderabilia",2026-02-05T18:00:07Z,55094,1046,131,PT1H34M19S,5659,22
N0n99VMJgoM,Imponderabilia,"Psychowashing: Ustawienia rodzinne, szarlatani, pseudobiologia, sekty| Oktawia Kromer Imponderabilia",2026-02-01T18:00:07Z,99936,2031,902,PT1H44M18S,6258,22
3325RNVCBhw,Imponderabilia,Kulisy pracy ratownika medycznego bez cenzury. Jan Świtała | Imponderabilia,2026-01-29T18:00:07Z,93566,2130,137,PT2H11M5S,7865,22
KtoX9-CzgCw,Imponderabilia,"Livka: latarnie wszędzie dawno zgasły, bo na niebie świeci nowa gwiazda | Imponderabilia",2026-01-25T18:00:07Z,87717,2537,191,PT2H18M54S,8334,22
uUnqOMZ_L-0,Imponderabilia,"Skoro dałem radę z ojcem, to dam sobie radę też z innymi tematami. Jan Holoubek | Imponderabilia",2026-01-21T18:00:07Z,74012,1987,148,PT1H18M1S,4681,22
lwFx9vtwbMQ,Imponderabilia,Tomasz Kot jakiego nie znacie | Imponderabilia,2026-01-18T17:00:07Z,169532,3728,175,PT2H22M6S,8526,22
n48h0tMOMdg,Imponderabilia,Imponderabilia dla WOŚP,2026-01-15T08:44:02Z,12481,750,98,PT4M56S,296,22
GGkVkfOO9fw,Imponderabilia,"Bożena Walter: cieszę się, że mam blisko na cmentarz, gdzie leży mój mąż | Imponderabilia",2026-01-11T18:00:07Z,36958,952,161,PT1H45S,3645,22
daNNHnQOPR0,Imponderabilia,Helena Englert: już nie piję i nie imprezuję. Czyje są kanapki z hajsem? | Imponderabilia,2026-01-06T18:00:07Z,111180,1860,386,PT2H21M18S,8478,22
EwvcS_nxrmo,Imponderabilia,"Człowiek Warga: Kanał Zero, Bracia Kamraci, Friz, Budda, Gonciarz, Wojewódzki | Imponderabilia",2025-12-30T18:00:07Z,108201,1780,485,PT2H41M5S,9665,22
MO8VdvvqIFM,Imponderabilia,"OjWojtek - szczery wywiad [Korea, Patec, przemiana, OWG, Latwogang, loteria książka]  Imponderabilia",2025-12-18T18:00:07Z,204384,3541,122,PT2H33M21S,9201,22
ypaWNKeiPPY,Imponderabilia,"Viki Gabor - szczery wywiad: hejt, spektrum uczuć, Malik Montana i przyszłość | Imponderabilia",2025-12-07T18:01:28Z,42474,725,114,PT1H13M55S,4435,22
Z1vYeM64QMU,Imponderabilia,Marcin Masecki: moim wehikułem jest MIŁOŚĆ | Imponderabilia,2025-12-04T18:10:37Z,14378,370,28,PT1H20M45S,4845,22
wqqFVInlUF0,Imponderabilia,Osiągnąłem dużo więcej niż powinienem - Grzegorz Krychowiak,2025-12-01T15:19:16Z,36027,687,96,PT1H21M7S,4867,22
kxsJi3QFPrQ,Imponderabilia,Jakub Wiech: dlaczego Polska potrzebuje elektrowni jądrowej?,2025-11-24T18:01:04Z,45979,1212,308,PT1H34M10S,5650,22
MWeoDQQQFIA,Imponderabilia,Andrzej Gryżewski: zaburzenia erekcji poprzedzają nadchodzący zawał,2025-11-23T19:00:07Z,78966,1943,111,PT1H59M36S,7176,22
