video_id,channel_name,title,published_at,view_count,like_count,comment_count,duration,category_id
p3xGa6yKxxM,KanalZero,KRZYSZTOF ŚMISZEK I AGNIESZKA BURZYŃSKA - PORANNE ROZMOWY ZERO,2026-05-20T08:01:45Z,7484,262,109,PT34M21S,22
DGhEVGCr8kc,KanalZero,OFICJALNY POCZĄTEK ZERO TV!,2026-05-20T07:30:05Z,8272,152,5,PT43S,22
HShngPHm-rY,KanalZero,FARMY TROLLI WSPOMAGAJĄ MISZALSKIEGO?,2026-05-20T07:14:10Z,5010,196,23,PT1M17S,22
FBGv4bTHCuI,KanalZero,"REFERENDUM W KRAKOWIE, INTERNETOWE TROLLE ZNIECHĘCAJĄ DO GŁOSOWANIA",2026-05-20T07:00:19Z,24940,2333,296,PT10M24S,22
SyAkC5NR41Q,KanalZero,CO DALEJ Z AMERYKAŃSKIM WOJSKIEM? I TELEWIZYJNE WPADKI I CIEKAWOSTKI,2026-05-20T06:58:26Z,32665,1087,29,PT1H53M34S,22
4FmZL08k8BQ,KanalZero,ZERO DECYBELI #2 KRZYSZTOF STANOWSKI I NATASZA URBAŃSKA,2026-05-19T20:38:35Z,78342,2466,203,PT1H32M,22
RThWkOfeIyI,KanalZero,MOBBING? ZASTRASZANIE? CIEMNA STRONA PREZESA ZAIKS-U,2026-05-19T18:30:34Z,37399,1882,485,PT46M21S,22
1oCQ3RctkvM,KanalZero,"PRZEKAZ DNIA: SEJMOWI REKORDZIŚCI KILOMETRÓWEK, MNIEJ WOJSK USA W POLSCE?, ZERO NA TAJWANIE",2026-05-19T18:08:01Z,55878,1569,168,PT1H22M19S,22
yxTrDDgnS2M,KanalZero,PANIKA WS. ŻOŁNIERZY USA. POLSKA ZABIEGA O ICH UTRZYMANIE. TRUDNE ROZMOWY POLITYKÓW I WOJSKOWYCH,2026-05-19T17:29:56Z,70240,2574,647,PT19M33S,22
6oGe6a89fs0,KanalZero,PUTIN W CHINACH. W ROSJI - ĆWICZENIA NUKLEARNE,2026-05-19T16:16:07Z,37975,1557,152,PT13M57S,22
0nSQwvxbmzo,KanalZero,TELEWIZJA WYMUSI NA NAS ROZWÓJ,2026-05-19T15:30:01Z,26673,438,22,PT37S,22
6hqMP3jmEWw,KanalZero,JUŻ JUTRO MAZUREK & STANOWSKI LIVE!,2026-05-19T15:15:00Z,53607,1233,49,PT44S,22
JQp_SOuJ17M,KanalZero,POLACY MAJĄ ŻABKĘ. INNI MAJĄ ...,2026-05-19T15:00:33Z,76048,746,56,PT1M29S,22
ggnbk-DhAH4,KanalZero,KOMUNIKACJA Z USA JEST NAPRAWIANA,2026-05-19T14:30:35Z,4610,51,0,PT38S,25
Hc5sm_P0cmo,KanalZero,82. ROCZNICA BITWO O MONTE CASSINO,2026-05-19T14:00:19Z,8410,182,9,PT1M21S,22
DqRj1VIK1VE,KanalZero,KANAŁ ZERO NON STOP!,2026-05-19T13:30:19Z,60231,1330,64,PT1M11S,22
MLwdmkkomyA,KanalZero,A WY CZYM SIĘ BAWILIŚCIE?,2026-05-19T13:00:27Z,2831,28,0,PT1M3S,22
9jQ44CJ3svs,KanalZero,KANAŁ ZERO W AZJI!,2026-05-19T12:30:09Z,6374,103,13,PT57S,22
CvC13x0RQM4,KanalZero,TOMASZ JASTRUN CHCE MORDOWAĆ WYBORCÓW PISU,2026-05-19T12:15:01Z,7171,128,13,PT46S,22
RkuzeCMGqIc,KanalZero,Z CZYM PACJENCI MAJĄ NAJWIĘKSZY PROBLEM?,2026-05-19T12:00:38Z,1762,14,3,PT57S,22
J05w2vQL0dM,KanalZero,STANOWSKI: BĘDZIEMY WIĘKSI NIŻ PLANOWALIŚMY,2026-05-19T11:45:01Z,228322,5064,247,PT1M10S,22
1Uho3f_aFnA,KanalZero,UDAŁO SIĘ! ZERO NA PILOCIE TV NALEŻY DO KANAŁU ZERO,2026-05-19T11:32:01Z,248343,5457,254,PT1M37S,22
mFd2ow28RLI,KanalZero,STANOWSKI: STARTUJEMY Z TELEWIZJĄ,2026-05-19T11:25:56Z,96857,1373,78,PT40S,22
OBmrIXgRQhs,KanalZero,STANOWSKI: STARTUJEMY! KANAŁ ZERO W TELEWIZJI!,2026-05-19T10:58:35Z,431746,23545,2436,PT9M4S,22
-ToBjqJgKuM,KanalZero,USA STAWIA NA POLSKĘ,2026-05-19T10:50:00Z,9619,147,15,PT46S,22
MJddv8MP6dM,KanalZero,"MEJZA: TEST NA PRAWO JAZDY, CO PIJE I WALKA WE FREKACH",2026-05-19T10:30:08Z,22867,101,24,PT1M5S,22
hSBgs2lefA4,KanalZero,"MONTE CASSINO WIELKIE ZWYCIĘSTWO POLAKÓW, ANDERS, NAWROCKI, WETERANI | 82 ROCZNICA",2026-05-19T10:00:50Z,19430,1833,231,PT11M59S,22
1_AGKK2DR3Y,KanalZero,"PONAD 130 OSÓB NIE ŻYJE, WHO WYDAŁO MIĘDZYNARODOWE OSTRZEŻENIA PRZED EBOLĄ",2026-05-19T09:00:05Z,57938,1786,320,PT12M5S,22
pbk1TQgEbBk,KanalZero,TRUMP LUBI NAWROCKIEGO. USA CHCĄ NAS WSPIERAĆ,2026-05-19T08:38:02Z,4549,38,6,PT51S,22
OKsufLi7eHg,KanalZero,ANDRZEJCZAK O WOJSKACH AMERYKAŃSKICH W POLSCE,2026-05-19T08:10:29Z,19941,177,3,PT1M,25
jCQ8WRVFrB4,KanalZero,ŁUKASZ MEJZA I JACEK PRUSINOWSKI - PORANNE ROZMOWY ZERO,2026-05-19T07:41:25Z,44624,1541,978,PT33M25S,22
29DwmHq7xJ4,KanalZero,MISZALSKI ZOSTANIE ODWOŁANY? STATYSTYKI SĄ PRZECIWKO PREZYDENTOWI,2026-05-19T07:20:01Z,17897,602,27,PT44S,22
mINkba7t3AQ,KanalZero,WSZYSTKO CO MUSISZ WIEDZIEĆ O WODZIE I SWOICH ZABAWKACH,2026-05-19T07:10:51Z,33638,886,71,PT1H39M4S,22
MsxXAw0mXOw,KanalZero,SROCZYŃSKI: LIBERAŁOWIE NIENAWIDZĄ NAJBARDZIEJ. ELEKTORAT TUSKA RADYKALIZUJE SIĘ,2026-05-19T07:04:21Z,132096,9734,1541,PT14M54S,22
mKuu-GSjNeA,KanalZero,TV REPUBLIKA ZAATAKOWANA A RZĄD BAGATELIZUJE TEMAT,2026-05-19T06:50:01Z,10483,538,25,PT1M6S,22
L2MOSumplAo,KanalZero,NAWROCKI ODWIEDZA MONTE CASSINO,2026-05-19T06:25:01Z,21579,807,33,PT39S,22
WbW-We74TBU,KanalZero,EUROWIZJA TO POLITYKA,2026-05-19T06:08:24Z,9818,81,10,PT45S,22
6LY_OTGAN0g,KanalZero,WOJSKA USA POLSCE - STAN GRY I GROUND ZERO #122,2026-05-18T20:04:12Z,57532,1919,166,PT1H48M56S,25
fz7nApfbpUY,KanalZero,FAKTY I MITY O SAFE MUSISZ O TYM WIEDZIEĆ! (FILM PRAWA I SPRAWIEDLIWOŚCI),2026-05-18T19:39:04Z,7788,251,53,PT17M35S,22
I_WXviLecQ4,KanalZero,"PRZEKAZ DNIA: CO Z WOJSKAMI USA W POLSCE?, KRAKÓW: GORĄCO PRZED REFERENDUM, INWAZJA NA SIEĆ BADAWCZĄ",2026-05-18T18:04:01Z,22687,799,44,PT1H19M1S,22
VweiJ695l04,KanalZero,12 PUNKTÓW DLA IZRAELA NA EUROWIZJI. POLSKIE JURY W OGNIU KRYTYKI. OŚWIADCZENIE TVP,2026-05-18T17:53:08Z,112597,4587,1086,PT16M12S,22
ZPA4x99X8q0,KanalZero,"PIERWSZE ZATRZYMANIA, ŚLEDZTWO, NOWE INFORMACJE WS. ATAKÓW NA TV REPUBLIKA",2026-05-18T15:57:31Z,112548,4966,551,PT9M56S,22
EP3e4b8qb0Y,KanalZero,CO ZAŚPIEWA NATASZA URBAŃSKA?,2026-05-18T14:00:31Z,14286,100,0,PT21S,22
aMq6B_2rG2s,KanalZero,JAKĄ DROGĘ MUZYCZNĄ WYBRAĆ?,2026-05-18T13:30:00Z,5113,24,2,PT46S,22
LD2Ga7oC3I8,KanalZero,SZYBKA KARIERA I WIELKIE ODKRYCIA NIEMIECKIEGO OSZUSTA | NAUKOWE ZERO,2026-05-18T13:05:10Z,64599,2466,262,PT12M49S,22
4uGX_z-Wp7g,KanalZero,ZIEMKIEWICZ O ATAKU NA TELEWIZJĘ REPUBLIKA,2026-05-18T13:00:13Z,155564,4020,98,PT46S,22
9bhP9me8Wsc,KanalZero,JUŻ DZISIAJ W KANALE ZERO!,2026-05-18T12:30:12Z,4633,41,1,PT42S,22
xMSzkl6O090,KanalZero,DLA KOGO JEST SZTUKA?,2026-05-18T12:15:15Z,11534,72,1,PT49S,22
ohlJ-obNnrw,KanalZero,EUROWIZJA 2026. JAK NAPRAWDĘ TAM BYŁO?,2026-05-18T12:01:27Z,32434,191,16,PT1M,22
n7FICva8Qz0,KanalZero,TAJEMNICE TAJWANU,2026-05-18T11:30:38Z,8043,65,2,PT1M24S,22
ayp5evfUT08,KanalZero,"WYRZUCILI EKSPERTÓW, WSTAWILI SWOICH. JAK POLITYCY PRZEJĘLI ZNANĄ SIEĆ BADAWCZĄ",2026-05-18T11:23:02Z,74383,3944,333,PT10M3S,22
COp8OwfYYR8,KanalZero,ROBERT LEWANDOWSKI ŻEGNA SIĘ Z BARCELONĄ. LECH POZNAŃ MISTRZEM POLSKI,2026-05-18T11:06:34Z,35719,811,135,PT2H26M16S,22
AlLYcgfM94w,KanalZero,KOLEJNY ZAMACH W EUROPIE,2026-05-18T11:00:28Z,13621,508,29,PT1M57S,22
