video_id,channel_name,title,published_at,view_count,like_count,comment_count,duration,duration_seconds,category_id
z7YmcoIaCqM,Patec,ZOSTAŁEM KASKADEREM,2026-06-06T13:00:19Z,6984,652,28,PT31M34S,1894,24
LiwqJfa3A_c,Patec,TEN SPORT SERIO ISTNIEJE!,2026-05-30T13:00:21Z,309141,9162,152,PT42M44S,2564,24
m4fUKmRWf7I,Patec,schabowy za 112 zł? :O,2026-05-23T13:00:56Z,368564,10643,234,PT33M30S,2010,24
E61NTrWcTwU,Patec,TA WYSPA JEST ODCIĘTA OD ŚWIATA,2026-05-20T14:02:49Z,564721,15200,189,PT32M11S,1931,24
X6uZIkS0U40,Patec,CIEMNA STRONA PODRÓŻOWANIA (zostałem oszukany),2026-05-14T13:00:51Z,749780,17941,466,PT29M20S,1760,24
gD92RYJ3YoU,Patec,MROCZNE OBLICZE KARAIBÓW (kraj przemytników),2026-05-11T13:19:31Z,568987,14748,165,PT36M29S,2189,24
B9UK8B18qQ4,Patec,Odwiedziłem KRAJ NAJWIĘKSZYCH HURAGANÓW,2026-05-08T13:00:28Z,570363,15871,206,PT39M44S,2384,24
9p01nveTPkM,Patec,Jak Smakuje MCDONALD'S Na Karaibach?,2026-05-05T13:00:04Z,804012,19358,252,PT37M39S,2259,24
rBc7UZI2Xdo,Patec,30 DNI ŻYCIA NA JACHCIE W RAJU,2026-05-02T13:01:34Z,722444,23417,259,PT25M49S,1549,24
aYsH7XZNvVY,Patec,CHCĘ TO ZROBIĆ JAKO PIERWSZY CZŁOWIEK NA ŚWIECIE,2026-04-25T13:00:03Z,1102773,41938,622,PT35M10S,2110,24
UTg9PPkpk44,Patec,NIE WSZYSTKO POSZŁO ZGODNIE Z PLANEM...,2026-04-11T13:00:51Z,270106,11256,242,PT24M,1440,24
BEQw0u1K0wA,Patec,Zjechałem z NAJWYŻSZEGO WODOSPADU ŚWIATA,2026-04-04T13:00:30Z,1128373,32978,452,PT57M52S,3472,24
HFtxsbzdemc,Patec,WENEZUELA: Jak bardzo jest NIEBEZPIECZNA?,2026-03-28T14:21:39Z,1554152,34244,554,PT1H9M25S,4165,24
sfOUOBV_gLo,Patec,SPĘDZILIŚMY NOC W DECATHLONIE,2026-03-18T14:06:33Z,571661,24122,409,PT44M33S,2673,24
5VVenmZBhZo,Patec,POLICJA NAM DOKUCZA,2026-03-14T14:00:13Z,846205,26046,458,PT30M59S,1859,24
kZjUQuRvnBI,Patec,O TYM KRAJU NIE UCZĄ W SZKOŁACH...,2026-03-11T14:06:13Z,992938,25271,476,PT26M1S,1561,24
dthv6aaDyEA,Patec,TO MÓJ NOWY DOM!,2026-03-07T14:01:04Z,1105323,33448,724,PT46M20S,2780,24
HRw7-NPgIEc,Patec,OCEAN NIE WYBACZA BŁĘDÓW.,2026-02-28T14:00:08Z,809629,23963,316,PT34M52S,2092,24
oua3ca-RBdE,Patec,WYPŁYWAM NA OCEAN... (WYSPY KANARYJSKIE),2026-02-21T14:01:05Z,1158550,33639,519,PT37M39S,2259,24
Kb0E3WZWeMg,Patec,FOKA: 160 KM WPŁAW PRZEZ BAŁTYK,2026-02-14T14:00:35Z,1518252,77679,2372,PT1H8M25S,4105,24
cQavSAjbikk,Patec,Test CHIŃSKIEGO MCDONALD'S,2026-02-04T15:03:59Z,1107353,29713,500,PT32M57S,1977,24
1UdacJCySFQ,Patec,MIASTO 8D W CHINACH,2026-02-01T14:15:01Z,963308,24343,336,PT24M44S,1484,24
wQd1SBmo1ww,Patec,CHIŃSKI TINDER W REALNYM ŻYCIU,2026-01-28T14:09:32Z,920304,22120,295,PT27M2S,1622,24
_srLUrQpdPo,Patec,Mroczna Strona Pand w Chinach,2026-01-24T14:00:22Z,827600,24620,496,PT30M31S,1831,24
iy51HLNyc4U,Patec,NAJOSTRZEJSZA KUCHNIA ŚWIATA (CHINY),2026-01-21T14:04:12Z,961296,24731,317,PT29M35S,1775,24
gaPOvu0Leu8,Patec,NAJBARDZIEJ KONTROLOWANY KRAJ NA ŚWIECIE?,2026-01-17T14:01:13Z,1972175,51733,695,PT27M36S,1656,24
NkOCwPg2d64,Patec,KONIEC PROJEKTU 27,2025-12-27T14:00:41Z,395976,17323,385,PT29M45S,1785,24
7db9wdB62kA,Patec,PRZESŁUCHALI GO NA GRANICY Z ROSJĄ...,2025-12-24T14:06:07Z,655284,20652,243,PT21M9S,1269,24
XwfeCJq5Fek,Patec,to marzenie kosztowało 2 MILIONY...,2025-12-20T14:09:14Z,621754,21600,398,PT38M58S,2338,24
baXU6DWwRo0,Patec,OSTATNI SZCZYT…,2025-12-13T14:00:15Z,998679,52321,1369,PT33M24S,2004,24
lED_CwjgEt8,Patec,TA GÓRA STOI NA GRANICY Z ROSJĄ (Korona Ziemi),2025-12-06T14:01:21Z,1581362,60678,754,PT1H11M55S,4315,24
MUq5TBAVCmE,Patec,tego nie było w naszym bingo - owg #7,2025-11-28T15:00:44Z,1339545,69247,1243,PT55M8S,3308,24
P3JDLgruLeM,Patec,72h nauki przetrwania - owg #5,2025-11-22T15:00:56Z,1634036,64017,671,PT50M59S,3059,24
Uyp22-pNePI,Patec,test mcdonalds w indiach - owg #3,2025-11-16T15:00:51Z,1718483,76871,896,PT33M28S,2008,24
ybrywRcJvC8,Patec,nasz nowy projekt - owg #1,2025-11-10T15:01:56Z,2223697,123821,1799,PT36M10S,2170,24
HFy9IZinzTU,Patec,PRZEPŁYNĘ OCEAN!,2025-11-01T14:00:45Z,754079,29439,542,PT17M31S,1051,24
21haGKR63rM,Patec,Maraton NA ANTARKTYDZIE,2025-10-11T13:00:07Z,506370,21245,330,PT17M10S,1030,24
5JrWEvt2XrE,Patec,NOWY ROZDZIAŁ W MOIM ŻYCIU,2025-09-27T16:32:31Z,1037113,41124,7393,PT50M32S,3032,24
ssP7MR_K61s,Patec,"WOJNA KUCHENNA Z ZOJĄ! (feat. Kuqe 2115, Oswald Rodrigo Pereira, xntentacion)",2025-09-20T13:01:43Z,511657,16740,243,PT20M2S,1202,24
68HbbOb6zyw,Patec,Maraton Na Każdym Kontynencie Świata,2025-09-13T13:00:19Z,687159,22495,474,PT38M37S,2317,24
jS2BvxK6M4g,Patec,NAJWYŻSZA GÓRA W AUSTRALII!,2025-09-06T13:01:22Z,613676,22183,294,PT27M58S,1678,24
CxREhAhHZP0,Patec,SIÓDMY SZCZYT KORONY ZIEMII,2025-08-30T13:00:24Z,811440,26088,529,PT28M56S,1736,24
g_-lGt50sl8,Patec,Spróbowałem Najtrudniejszego Biegu Na Świecie,2025-08-23T13:01:16Z,871052,27789,446,PT27M54S,1674,24
oLUlhozePpk,Patec,Góra TRUDNIEJSZA od MOUNT EVEREST? | Q&A feat. Oswald Rodrigo Pereira ,2025-08-16T13:01:33Z,343043,10964,195,PT42M59S,2579,24
SL2oHiKfbEA,Patec,BYLIŚMY ŚWIADKAMI TRAGEDII [Denali 2/2],2025-08-09T13:00:48Z,1351850,49159,738,PT1H13M26S,4406,24
0RkMhPXu_CQ,Patec,NAJZIMNIEJSZA GÓRA NA ŚWIECIE (zimniej niż na Mount Everest) [Denali 1/2],2025-08-02T13:00:03Z,1420405,44194,639,PT1H5M53S,3953,24
ts6KmGPr_mc,Patec,"ZWIEDZIŁEM PÓŁ ŚWIATA, ŻEBY TO NAGRAĆ",2025-07-19T13:01:42Z,902454,26959,409,PT1H6M30S,3990,24
-oQjM_Nk6r8,Patec,Spróbowałem NAJDZIWNIEJSZEGO SPORTU,2025-07-05T13:00:03Z,322546,12627,270,PT20M23S,1223,24
Lvrb3VCpY8E,Patec,TEJ GÓRY STRZEGĄ TUBYLCY! (KORONA ZIEMI 5/7),2025-06-28T13:00:46Z,1573953,39903,632,PT53M36S,3216,24
qaMhrLkpcPc,Patec,ZOSTAŁEM ARTYSTĄ!,2025-06-14T13:01:35Z,210181,6990,502,PT17M10S,1030,24
66NPeLnXS_I,Patec,WZIĄŁEM ICH NA STOPA... I TO BYŁ BŁĄD,2025-06-07T13:00:12Z,496023,15276,220,PT29M3S,1743,24
JX8erUO1feU,Patec,to był NAJGORSZY wyjazd mojego życia…,2025-05-31T13:00:30Z,712721,21612,272,PT38M9S,2289,24
n8_gOwhZ8Fo,Patec,WOJNA KUCHENNA NA ISLANDII! (feat. PIOTRULLO),2025-05-24T13:01:24Z,382959,13607,189,PT23M48S,1428,24
HrTUwjJW3fI,Patec,"Nie uwierzysz, że TEN SPORT ISTNEJE…",2025-05-17T13:00:34Z,162971,6508,125,PT15M3S,903,24
rNWzxN3JJ9I,Patec,TARAPATY na Szczycie Kilimanjaro 😥,2025-04-26T13:01:35Z,1115840,30327,610,PT52M54S,3174,24
Jfp-uulzyBA,Patec,Test Jedzenia na Kilimandżaro,2025-04-19T13:00:26Z,1097465,30322,473,PT52M11S,3131,24
ADJ9QTLxhXI,Patec,NIE SŁYSZAŁEŚ O TYM SPORCIE,2025-04-12T13:00:17Z,826395,32344,578,PT25M26S,1526,24
9rCbirBYp-M,Patec,Dostałem Lekcję Pokory...,2025-03-29T14:00:14Z,1032502,41035,628,PT34M36S,2076,24
fsE0BgQYb8Q,Patec,WYPRAWA O KTÓREJ NIE WIEDZIELIŚCIE…,2025-03-22T14:00:48Z,1471398,50979,597,PT51M16S,3076,24
BD1P42CofMU,Patec,24h jako FOTOGRAF DZIKIEJ PRZYRODY,2025-03-15T14:00:14Z,617715,21257,347,PT35M41S,2141,24
vAcCfkt7WVQ,Patec,NAJDROŻSZA WYPRAWA w Moim Życiu,2025-02-15T14:01:08Z,518217,22278,405,PT25M14S,1514,24
uAnlMYHyePs,Patec,Zdobyłem Najwyższy Szczyt Antarktydy,2025-02-08T14:00:59Z,1481708,52709,924,PT46M44S,2804,24
4-6YEeWRSnI,Patec,Jak Zdobyłem Biegun Południowy,2025-02-01T14:00:04Z,1433719,54060,1034,PT1H1M29S,3689,24
