video_id,channel_name,title,published_at,view_count,like_count,comment_count
6LY_OTGAN0g,KanalZeroPL,WOJSKA USA POLSCE - STAN GRY I GROUND ZERO #122,2026-05-18T20:04:12Z,10808,752,7
fz7nApfbpUY,KanalZeroPL,FAKTY I MITY O SAFE MUSISZ O TYM WIEDZIEĆ! (FILM PRAWA I SPRAWIEDLIWOŚCI),2026-05-18T19:39:04Z,480,32,12
I_WXviLecQ4,KanalZeroPL,"PRZEKAZ DNIA: CO Z WOJSKAMI USA W POLSCE?, KRAKÓW: GORĄCO PRZED REFERENDUM, INWAZJA NA SIEĆ BADAWCZĄ",2026-05-18T18:04:01Z,9788,511,17
VweiJ695l04,KanalZeroPL,12 PUNKTÓW DLA IZRAELA NA EUROWIZJI. POLSKIE JURY W OGNIU KRYTYKI. OŚWIADCZENIE TVP,2026-05-18T17:53:08Z,22537,1877,439
ZPA4x99X8q0,KanalZeroPL,"PIERWSZE ZATRZYMANIA, ŚLEDZTWO, NOWE INFORMACJE WS. ATAKÓW NA TV REPUBLIKA",2026-05-18T15:57:31Z,46684,3224,390
EP3e4b8qb0Y,KanalZeroPL,CO ZAŚPIEWA NATASZA URBAŃSKA?,2026-05-18T14:00:31Z,5887,57,0
aMq6B_2rG2s,KanalZeroPL,JAKĄ DROGĘ MUZYCZNĄ WYBRAĆ?,2026-05-18T13:30:00Z,2395,14,0
LD2Ga7oC3I8,KanalZeroPL,SZYBKA KARIERA I WIELKIE ODKRYCIA NIEMIECKIEGO OSZUSTA | NAUKOWE ZERO,2026-05-18T13:05:10Z,30251,1403,176
4uGX_z-Wp7g,KanalZeroPL,ZIEMKIEWICZ O ATAKU NA TELEWIZJĘ REPUBLIKA,2026-05-18T13:00:13Z,37330,1539,23
9bhP9me8Wsc,KanalZeroPL,JUŻ DZISIAJ W KANALE ZERO!,2026-05-18T12:30:12Z,2259,29,1
xMSzkl6O090,KanalZeroPL,DLA KOGO JEST SZTUKA?,2026-05-18T12:15:15Z,4996,34,0
ohlJ-obNnrw,KanalZeroPL,EUROWIZJA 2026. JAK NAPRAWDĘ TAM BYŁO?,2026-05-18T12:01:27Z,18196,106,8
n7FICva8Qz0,KanalZeroPL,TAJEMNICE TAJWANU,2026-05-18T11:30:38Z,7016,49,2
ayp5evfUT08,KanalZeroPL,"WYRZUCILI EKSPERTÓW, WSTAWILI SWOICH. JAK POLITYCY PRZEJĘLI ZNANĄ SIEĆ BADAWCZĄ",2026-05-18T11:23:02Z,46694,3015,267
COp8OwfYYR8,KanalZeroPL,ROBERT LEWANDOWSKI ŻEGNA SIĘ Z BARCELONĄ. LECH POZNAŃ MISTRZEM POLSKI,2026-05-18T11:06:34Z,26575,670,96
AlLYcgfM94w,KanalZeroPL,KOLEJNY ZAMACH W EUROPIE,2026-05-18T11:00:28Z,2903,118,11
jCQ8WRVFrB4,KanalZeroPL,ŁUKASZ MEJZA I JACEK PRUSINOWSKI - PORANNE ROZMOWY ZERO,2026-05-18T10:40:34Z,0,11,0
tcpsumI4EUE,KanalZeroPL,CHADA I ZBUKU UKRYWALI SIĘ,2026-05-18T10:40:01Z,1418,19,0
Bb-v8FcmyPw,KanalZeroPL,ALICJA SZEMPLIŃSKA ZROBI KARIERĘ PO EUROWIZJI?,2026-05-18T10:15:01Z,4982,42,3
7Db4Bj1kppU,KanalZeroPL,NAWROCKI SPOTKAŁ SIĘ MELONI,2026-05-18T09:39:44Z,90781,3849,251
Kj5jjcIrow4,KanalZeroPL,"NIEOCZYWISTY TAJWAN: TAJPEJ, ABORYGENI, WYSPA I TUNELE UCIECZKOWE",2026-05-18T09:00:22Z,14254,836,30
7FVjJfr8It0,KanalZeroPL,KOGO SŁUCHAŁ ZBUKU?,2026-05-18T08:48:20Z,14001,63,4
5J5-7dZnm2M,KanalZeroPL,ZŁOMNIK O CHIŃSKICH AUTACH,2026-05-18T08:01:00Z,8386,55,5
ePYTAY80E7U,KanalZeroPL,ZBIGNIEW BOGUCKI I ROBERT MAZUREK - PORANNE ROZMOWY ZERO,2026-05-18T07:58:35Z,110783,5652,839
mINkba7t3AQ,KanalZeroPL,7:00 WARGA & MISHON - PORANEK,2026-05-18T07:55:03Z,0,21,0
sNCRndYQpsI,KanalZeroPL,5 ZŁ ZA PIERWSZY KONCERT,2026-05-18T07:30:21Z,2377,15,0
xMrbmWnjvtc,KanalZeroPL,7:00: ROBERT MAZUREK & TOMASZ KAMMEL - PORANEK,2026-05-18T07:12:54Z,54655,2075,154
uhG1Lz9Oig8,KanalZeroPL,"ATAK W MODENIE, POLKA W CIĘŻKIM STANIE, PROBLEM EUROPY Z MIGRANTAMI",2026-05-18T07:00:44Z,117968,5206,1075
HP9ojGpNBjo,KanalZeroPL,ZERO ABSOLUTNE #50 - ZBUKU,2026-05-17T20:26:38Z,32456,1018,62
LTj-FTa4Chg,KanalZeroPL,MACIEJ MUSIAŁ POLECA 3 FILMY,2026-05-17T18:30:23Z,12379,58,4
OgEkeiIFVc8,KanalZeroPL,"ATAK NA TOKIO 1945, NALOT GORSZY OD BOMB ATOMOWYCH | BITWY-KAMPANIE-WOJNY",2026-05-17T17:00:32Z,15031,889,67
ggxNMooO4fM,KanalZeroPL,CZYSTA PROPAGANDA W TVP,2026-05-17T16:40:00Z,110102,2047,261
